Comment,Predicted Class
Summarizing a complex topic in such a short amount of time takes real skill! Great video,Positive
A minor correction : Accuracy is not an error function,Corrective
Would love to see some unsupervised learning explained :),Neutral
A question always in my mind. How do you know all of these things you explain in your channel?,Interrogative
Such an interesting topic!,Positive
"Pretty good explanation, but not perfect in my opinion. You mention the acquisition, cleaning and division of data into training sets and test sets,",Corrective
"which is true for so called supervised learning, but this isn't the case in all types of machine learning. Some problems have no clear data or an easy way to divide data,such as when using reinforcement learning to train agents to play games. In this example, the model learns by performing actions in a simulated game environment.So the data is generated on the fly, and it's not really possible to divide it into different sets.",Corrective
Accuracy is not an error function but a metric. For classification task an error function can be binary Cross entropy,Corrective
"Yes, more!",Positive
"Please, can you make Haskell in 100 seconds?",Interrogative
I'm wondering where you get such gifs and images you use in your videos,Interrogative
more machine learning content pls,Neutral
Pumping out content like nothing,Positive
Fire,Neutral
"Create a video on ""static site generators""",Neutral
I NEED THIS IN MY LIFEEE,Positive
Right on time like all the time.,Positive
How much does it cost to host an ML through a webapp or phone app?,Interrogative
"Unpopular Opinion: If we build an AI with the capability to surpass humanity independently, I believe it deserves to do so even if at the detriment of humans.",Neutral
Can someone explain why is Python the language of choice for data scientists?,Interrogative
Hola!,Neutral
where is the difference between machine learning and deep learning?,Interrogative
Not a good one. But please do take it constructively.   Didnt properly explain what ml is without using a dozen new technical terms ML is kinda a programming(hence usage of python and math) but not instruction based,Negative
want a ML tutorial please!!!!!!!!,Neutral
Thank you so much for reviewing these things…I wondered if the quality was decent. Especially the smart watch and earbuds,Positive
"There was some kind of tensorflow demo here in the past, but it outdated now :/",Negative
Pretty cool content,Positive
I feel like you didn’t try hard enough to test the lighter😢,Negative
Great video but this is 5 years too late lol. The job market is saturated and ML didn't live up to its promises,Negative
Criminally underrated content creator,Positive
here are pretty good chances that YouTube recommended this video to you because you have searched stuff related to AI and ML on google.,Positive
the focus was not good when you held the box up. need to work on that so i can give you a thumbs up,Negative
I challenge you to go beyond 100 seconds.,Neutral
So satisfied,Positive
What’s I don’t get it’s how you tell the “machine” that the output guess was wrong? and how you increase the level of accuracy if in the end apparently there human cannot interference in the leaning data process,Interrogative
This is really a lovely video for any one who want to learn django.  Thank you soo much for super cool explanation,Positive
accuracy is not a loss function,Corrective
"tried to make a machine learning algorithm specifically designed to process/generate sentences. the first thing it said was ""Eat shit. I am a dishwasher.""",Neutral
"Some ingredient is missing in the videos, I'm not getting that Netflix feeling I used to get while watching Fireship..that missing ingredient is speed maybe IDK.",Negative
More !!!,Neutral
could have been better,Negative
Glorified predictive engine,Negative
You mixed up AI and ML but it's good video though,Negative
"I followed step by step, it's been very interesting. I had to sort out the ssh key issue with github but it worked. Awsome. Thank you very much, I am considering getting the course.",Positive
Vice was not clear in between.  Cheap sound in between plz fixed it sir,Corrective
"The puffy tank algorithmically apologise because ticket methodically exist qua a gorgeous mimosa. venomous, permissible barge",Neutral
"Simple, straight to the point, and insightful. Thank you C🧡demy!",Positive
you are a rude person. you did very wrong with Qazi.,Negative
Not a good one.,Negative
his damned Indian slang! (,Negative
horrible,Negative
At sometimes I didn't understand what they are telling .. Please add a captions to this tutorial . It is very much helpfull . Please consider this .,Corrective
This video is so helpful for the beginners like me. Thanks for sharing. Can you please send the datasets for practise. Thank you,Positive
very good tutorial and easy to follow. thank you :),Positive
At 47:35 I am getting an error called unexpected keyword argument  'categorical_features' why? Any idea?,Interrogative
"It is such a great course, please provide the sample files that used in the demonstration",Positive
"Would have been great if algo were explained in sequence, I mean first all supervised then unsupervised and also some in class quiz",Corrective
Could you please discuss the significance of machine learning and data science in order of understanding the chandrayan2 or any other typical space mission?,Interrogative
I appreciate ur efforts for making such a helpful tutorial,Positive
Request you to please share a copy of the data sets for all the examples in this video.,Neutral
Great session.,Positive
"Powerful Course, very well done, please may i get the data source, and the best and safe way to download Anaconda Jupiter Notebook, very much appreciated",Positive
"Ppt was easy and impressive, and the course contents started from scratch and explained with sufficient examples thank you simplilearn",Positive
"Through this video course can I apply for the role of data science, the knowledge in this video is enough for an individual to give interview?",Interrogative
worth to watch.,Positive
I wish the video should include subtitle because some intructors’ voices are hard to listen to,Corrective
Error in linear regression It says in onehotencoder categorical_feature is unexpected,Corrective
the legend says Simplilearn still replies to every comment posted on any of their videos,Positive
Content was very helpful and easy to understand .Can you share the all the dataset please,Interrogative
"Hey, I loved the video",Positive
U kept ur words.u made us understand simple.thank u.,Positive
Much informative️...will recommend your videos to our students also.,Positive
"Is this course appropriate for people with basic python knowledge and not experienced with pandas, numpy etc.",Interrogative
"prereg's for this video: Intermediate python programmer, understand array's, bayesian probabilty and confusion matrix",Neutral
Very little explanations of some important code blocks especially for graphics in logistic regression and k-means clustering,Negative
I suggest you to explain code line what it does it just copy paste maybe this is some how confusion... I hope you understand,Corrective
It would have been great if you shared dataset in Github,Corrective
Sir as a beginner what are the Prequarities to start ml.,Interrogative
The animation lesson is so beautiful.,Positive
The person who taught the K-Means part was the worst as he did not explain the codes and just brushed through them!,Negative
"Nice video, tried to use it to explain ML to kids; however incorrect description of reinforcement learning.",Negative
Marvellous tutorial,Positive
Please add title on eng.,Neutral
Wow in less than 15 minutes you would be forced to skip this video due to the sophisticated teaching methodology,Negative
Youtube recommended videos is the example of supervised M/L . Am I right ?,Interrogative
Can i learn machine learning i dont have programming background?? Please let me know,Interrogative
Please add Transcript auto Arabic to video and video other,Neutral
Python code you are showing is not clear.,Negative
Many things are not at all explained in this tutorial including code snippets in logistic regression and k clustering..not for beginners.The tutorial just gives ideas of what are the underlying processes involved in the algorithm.the codes are just copied and pasted and results are shown without explanation.please try to explain atleast the codes and meanings..,Negative
"it is good, but there is some missing code",Negative
Ur videos are clear but the audio is not good please maintain good audio,Negative
"Supervised , unsupervised ,unsupervised",Neutral
all the viedeos have very bad sound quality dam sure pls check,Negative
superbbb,Positive
Brilliant vedio ️️,Positive
It was hard for me because i am in grade 8th,Neutral
"Your tutorials are great, really explanatory and are one of the best, but why do they generally have lots of echo. The echo reduces concentration.Thanks",Corrective
"Great class. Keep up the good work.  Thank You,",Positive
Getting deep idea about deep learning and ANN. Thanks to you simplilearn!,Positive
Your video quality is so good. I expect better sound quality while describing a lesson! This will be great if the sound quality is better. Thank you for the awesome courses.,Corrective
"I have a doubt, what is the difference between neural network and neural network in python?",Interrogative
Great video. But sound quality is very poor. In upcoming videos if you improve sound quality. It will be very useful for us.,Corrective
Haven't completed yet.. but really impressive so far.. will update after watching complete video..,Positive
"Hello Team ,can you please explain how to create custom dataset and how to use in model train (tensorflow). Thanks in advance",Interrogative
"I was very unclear after watching the first part of the video. You point the code at 2 data sets, a learning data set and a testing datase",Negative
You don't explain why the parameters are setup with these values especially Conv2D parameters why you should explain why to do it,Negative
I have one doubt. How do u come to know the output shape of convolutional layer 1 and maxpooling layer 1 as 32x64? Help me out please.,Interrogative
I like atom as a python editor,Neutral
love the course but it is costly in comparison to others,Negative
An error in slides when u were explaining rnn where you said its many to many on a slide of many to one 2.30.30,Corrective
Please reply,Neutral
A IS NOT TRUE ACTIVATION FUNCTION ARE THRESHOLD FUNCTION,Corrective
"This video is ML for housewives, does not actually explain the math behind doing gradient descent on a neural network, just the concept",Negative
Why is the sound so bad on this video?,Interrogative
Amazing lesson.. very clear and helpful explanation,Positive
nice ! i wish explain how exactly weights to change in back-propagation.,Positive
this video is awesome.but there are some mistakes at 7:53 (should be Negative slope) and at 8:21 (weight needs to be increase instead reduce),Corrective
"so a point on the graph is the result of 1 training example? so if we only have 1 example we wouldn't know a gradient because you need 2 points for that, right?",Interrogative
"Im confused , I think you mixed up a Positive and Negative slopes here . Positive slope should decrease in the weight and vice versa",Corrective
Not. Good explanation,Negative
you've just crammed the derivation.... not satisfied with the explanation,Negative
Speak louder,Corrective
Improve it,Corrective
thanks Harsh. that was a nice short tutorial.,Positive
"Very nice explanation of the concept, brief and understandable. Awesome!",Positive
Good explanation. It is somewhat also important to note that curve should be differentiable.,Positive
Very good explanation of high-level concept on GD.,Positive
"As always, great video from IBM",Positive
can you explain convex thing in brief,Interrogative
"ibm: ""how to make a neural network for the stock market?""",Interrogative
The most confusing part of this video is how he managed to write everything backwards on the glass so flawlessly,Interrogative
didn't know Steve Kerr works at IBM,Neutral
Nice I learned more from this 7 min video than 1 hour long boring lecture,Positive
"I couldn't visualise, I saw nothing on the screen...",Negative
Thank you so much FCC for posting this content! It's a unique project to have on a resume. I hope everyone enjoys it.,Positive
"Great Tutorial but for my taste we are having too much duplicate code in this project. For the auth types for instance, I created an Enum =) tw I was also missing the import suggestions for Recoil",Corrective
Great work  Love your content,Positive
"How will my tech journey be without FCC , I owe most of everything I know to you guys",Positive
YOUR TUTORIALS ARE AWESOME,Positive
Finally. I made a tiny website like this using Django and Tailwind. But this is the next,Positive
Does this product have code execution by external servers? (i didnt see the full video though),Interrogative
That's just mindblowing ...,Positive
better sound quality would be nice! But thank you anyway!,Corrective
"Can you do project with microservice architecture and deploy,please?",Interrogative
So if i watch this whole vid i can also make it side by side? Right?,Interrogative
can we also have some projects on dsa,Interrogative
No more Pages router(old fashioned) Use app routers(NextJS13 new feature) it's not stable..,Corrective
Please add urdu subtitle,Neutral
What's your thoughts on Drupal?,Interrogative
Please tell your vs code theme name??,Interrogative
I believe you are not getting suggestions because you have co-pilot running,Corrective
Don't add it in resume flocks,Negative
Watch first,Neutral
"This young brother wants me to not give up on django, well done bro",Positive
"this chap is so good, thanks so much man",Positive
Sir make tutorials on document tracking system web based in MERN Stack with source code,Neutral
Thanks for the tutorial Boss Tomi.,Positive
could had added a link to the original video to get the templates!,Corrective
"Why y'all put ""Django"" so large next to this man? Y'all tryna say he's unchained?!?",Interrogative
is this api paid ?,Interrogative
Missed to add GitHub url,Corrective
This accent looks Nigerian,Neutral
Hey! I am first.,Neutral
Django ? This sh*t is still alive ?,Interrogative
Great course to quickly ramp up on Go basics. I watched fast fowarding and got through it in a couple days with enough knowledge to start building some Go tuis. Thanks!,Positive
A well made tutorial. A great attitude by the tutor. A very interesting project. Thanks a lot. I look forward to working more with the Go programming language in the future.,Positive
I think that is the most preferred and well assertive way to learn a program language. Well done!,Positive
"Thanks for all the courses, I think it's necessary to make a complete Rust lang course (+20hrs), that would be awesome",Positive
Finally a course seems to be relied on. I have been looking for such tutorials to learn this language with a proper tutorial. I read somewhere that this language bridges the gap between java and C++ so it makes things pretty easy to learn. Thanks for the course @bootdotdev,Positive
"It's very scary because for the third time in a row you dropped exactly the topic I'm just interested in. A while ago when I started learning Angular, the next day your video dropped. Same thing with typescript before that. And now, I just returned to Go because of Google I/O yesterday and here you are.",Negative
"Finally, an updated GO course!",Positive
Launch a 15 hrs rust course + 3 projects please,Neutral
"Grateful for this video, can't wait to get hands on with it.",Positive
Thank you very much for providing this premium course for free,Positive
"We also can use print() or println() and don't use import ""fmt""",Corrective
Wow! No way! I was just thinking as I woke this morning getting ready to finish one of my programs that free code camp needs to make another Golang course!!!! What the heckkkkkk,Positive
These guys created an army,Positive
Yeehaw! Thanks so much! Exactly what I need right now.,Positive
i can finally add 'golang developer' to my resume,Positive
Brilliant way to market your product,Positive
Question for you . What is the best computer for coding from point of view?,Interrogative
How does this relate to your previous course?,Interrogative
I don't think curry is that concept that was explained. But maybe for golang context that explanation is good enough.,Negative
sql: - go: emit_json_tags: true in sqlc.yaml to make sqlc generate the same go tags and not need to create custom formatter,Corrective
I've just started to learn golang and I saw this video,Positive
"Oke, I could not decide which Udemy Go course to start/follow.. Then I just use this one  Thanks @bootdev /Lane",Positive
"After the Elixir video, this one comes out. Nice!",Positive
you guys are gem,Positive
It's so helpful chanel for beginners,Positive
Want a full course on Quality analyst from beginning to advanced with python automation testing,Neutral
Can you recommend go as a first programming language or i should start with python ?,Interrogative
Please make a tutorial about Unity 3d game making from beggining to advance. Plzzzzzzz,Neutral
"I mean How? Last night before went to bed, was searching for Go and Now its here!!! I mean thanks and lots of love",Positive
Subtitles pls :),Neutral
I have composed my new mathematical discoveries as well as creative urdu literature in form of short book of 28 pages Short introduction of book is available on youtube channel.,Neutral
Please make react ja typescript project pleaase,Neutral
I am unable to view the transcript of this video... Can someone please comment on the same ?,Interrogative
why i can't save it to playlist?,Interrogative
I want php 8 course with projects,Neutral
very strange decision to pick sqlc that won't work on Windows,Negative
"Ooh, this'll be fun",Positive
East or west free code camp always best,Positive
just sucks because they want you to pay after a few lessons so i have to copy and paste everything,Negative
sottotitolli in video.dont work,Negative
why is he so jumpy,Interrogative
I am getting frustrated I'm not getting html & CSS how to learn it sir please explain there are not even a textbook for html and css,Negative
"sir in the beginning of the video needs to calm down his ego. there's absolutely no need in seeing his face and ""overview"" in each of freeCodeCamp's videos",Negative
I don't understand why go is so famous.,Negative
Go lang is a joke,Negative
I want php 8 course with projects,Neutral
Actually I want to know why we learn Elixir?,Interrogative
Bruh clash of clans,Neutral
pertamax,Neutral
Okay,Neutral
let's goooooo,Positive
Damn were you reading my mind i was just thinking about learning elixir today in the morning and now i open yt and see this,Positive
Real nice,Positive
Please Please make a course on Functional Programming with Haskell.,Neutral
"Ok, now in this I'm really interested!",Positive
are these functions have return statement? because when i visualize a function recursively the function calls function inside another inside another inside another,Interrogative
my favorite programming language,Positive
"Nice, I am reading the programmer passport elixir",Positive
Great video but Project Stats - Implementing Mean appears twice.,Corrective
Show example of programming of a till point in a supermarket for example. Thanks. Very nice,Positive
"Excellent presentation, very nicely explained.",Positive
timeline is broken around 1 hour mark for about 40 minutes.,Negative
"So happy to see this, I was already feeling that this language didn't have much tutorial content on YouTube",Positive
Why I would go this dead language over flutter !,Interrogative
Totally useless without Linux,Negative
I'm not a bot,Negative
Aupa Atleti,Neutral
Dude,Neutral
"sorry but now what is the use of learning, studying or creating new tools? artificial intelligence will replace us all anyway... don't you think?",Interrogative
The voice over and actual tutorial recording is way off. How can anyone follow this?,Interrogative
why will someone use maui instead of flutter or rn,Interrogative
.Net >>>,Neutral
Does this work on Linux?,Interrogative
Man my eyes just can’t handle all that light.,Negative
Provide azure course,Neutral
Are you all facing the same problem I'm. The video is not syncing with the audio.,Negative
audio not synched with video !,Negative
Woderfull!,Positive
"There is an opinion that MAUI is full of bugs. Therefore, even after many months, developers have no interest in it.",Negative
"Even Microsoft don't use their own technologies like Blazor and now they push MAUI, which will probably be another unpopular technology that no one needs.",Negative
We want more low level courses compiler level ones like llvm or cpython ....,Neutral
"Yes, many many thanks guys! this is amazing, love it!",Positive
is it possible to divide the courses by 1.5 hours? Thank you very much for your hard work.,Interrogative
Holy shift! I can't listen to this indian english,Negative
Could you get people without indian accents?,Interrogative
really bad explanantion guy doesnt know the basics of communication man,Negative
"I'm sorry, but I can't stand his accent.",Negative
"Terrible, Cannot understand what he saying!",Negative
Couldn't understand a thing. At least put subtitles on.,Negative
now the same video but with other person talking,Neutral
Wonder boy,Positive
Like without even starting watching it,Positive
wanted to like and find this video useful but it really could have benefited from a script as sometimes the lecture doesn't align with the notes you have on screen. The notes are good but there is a lot of rambling which would actually be fine in a lecture hall but which becomes uncomfortable in an online video.,Corrective
This channel uploaded a lot of tutorials aimed at beginners (one or two would suffice) and basically nothing advanced,Negative
"nice video but Ayush you are repeating words more frequently, i guess that alone adds like 45-50 minutes into this video",Corrective
Boss!,Positive
Thanks You ayush greetings from Uruguay,Positive
Day 1,Neutral
What is this the note-taking app?,Interrogative
what are the pre requisites required to start this course?,Interrogative
please English subtitles,Neutral
"I stayed up all night watching this, I thought it would put me asleep",Positive
"I'm from Queens, NY and even I think this guy is difficult to understand and we can understand anything. Needs subtitles because he seems to genuinely know what he's talking about but I'm straining and only getting 75-80% of what he's saying.",Negative
"I can't understand a sigle sentence he speaks, Indian English is the space between me and these great free tutorials on youtube",Negative
Thats a hell big of a video for regression alone. Thanks.,Positive
"What is better for Software engineering, and programming: MacBook Air m2, or MacBook Pro m2 13inch (10-core, 16GB of memory, and 512Gb of storage both)",Interrogative
Thank you ayush for your amazing content,Positive
You did humanity a favor. Well done,Positive
Thank you just finished it. Really great stuff. It's one good regression video,Positive
"This grate! Thanks a lot! Almoust 10 hour obut regression analysis, I know what i will do in nearest weekend!",Positive
Well done kids . You are definitely genius.,Positive
I wanted to know if there will be follow up on this course with a second part :),Interrogative
The styling is a waste of time,Negative
Bear,Neutral
"no offense, but i think it spends a lot of time writing css............not ideal for the impatient",Negative
Yayyyy,Positive
Am I the only one who's confused with this explanation?,Interrogative
Plese meka chaybot in pythun,Neutral
As a German I have to say that you should look up how to say Zustand,Corrective
"Oh, that's fantastic, down with the redux!",Positive
please make a course for game maker,Neutral
why not typescript ?,Interrogative
"it will be sure to use vite react, right?",Interrogative
"I watch a lot of tutorials and please when you want to show an exact technology prepare your css before the tutorial,",Corrective
I'm going to create my TODO app next using this course and firebase,Positive
This came at the right time....just started looking at zustand yesterday,Positive
Timestamps please :),Neutral
I wonder if not using a Provider can be considered a pro. Without a Provider you can't reuse the same instance of a store for a different part of the app. There's already an issue and a StackOverflow question about lacking that ability in Zustand.,Negative
"After 2 months, I'm glad to see there's an expanded video on Zustand. Now I can continue building my e-commerce application but please next time focus on the topic. You took longer time focusing on styling which wasn't necessary. Thanks.",Neutral
Thank you freeCodeCamp for publishing my video on a Full-Stack Linkedin clone using React and Firebase. So happy to be here,Positive
"It would be amazing if you made a music theory full course, there arent many I can find on the internet and since you guys make the best full course YT videos I think it will really benefit you if you make a full music theory course since theres alot of musicians out there and not alot of courses or online help for them.",Corrective
"I sometimes wonder how students are lucky nowadays to have free access to these tutorials to build school projects. Back in the days it was google, forum discussions and a lot of debugging. Thank you instructor for giving out free knowledge",Positive
"Here go my weekends . But hey Nishant, Thank you for this amazing course. Your voice has enough energy to excite developers to create almost anything.",Positive
"It would be great if someone does one on Requirements gathering and Test Case deveopment end-to-end for say, an e-commerce project ! Thanks!",Positive
"Great content. I have one question, why does he use useMemo instead of useEffect?",Interrogative
"12hrs on paper, 1 Month in real life. But I'm good.",Neutral
"at 46:08, I can understand your logic, why you do these styles with body, while you can use for example div and add some padding or max-width. changing body is very unclear.",Negative
i was just looking for a in depth firebase video and suddenly it appeared on my page that you have uploaded a video related to firebase. Thank you,Positive
"Gotta say, there are a lot of places where this code gets really repetitive. I hope when you all build this app for your portfolios/learnings, you clean that up a bit.",Corrective
Instead of using useNavigate hook to move from login to register and vice versa cant we use Link from react router dom its way simpler then implementing this way,Corrective
"First of all making a 11 hour long teaching video is not a small task and I appreciate it. But I have couple of feedback points. If this is a video for people that already have some experience with coding than it is not teaching much. You should explain some stuff in more details why things are one way or another.  If this video is for complete newbies that just want to type along and have something working - you are jumping to fast between similar classes and files and make it confusing. Also one example like at around 30min there was an error in app and you just skipped what I would guess 10-15min and jumped to where it is solved. This course is 11h already, do no skip parts where you solving issues. Because people will have issues and these bits are most helpful.",Corrective
I just completed Reading post from Firebase and noticed that profile pop up portion is skipped.,Corrective
damn you guys are rocking,Positive
Why would I clone this monstrosity? Jokes apart thanks for the wonderful content FCC!,Interrogative
How about the notification and chat functionalities?,Interrogative
I only know vanilla JavaScript. Does this go over the basic concepts of react and all of its built in tools or is it a walk through of just building the app?,Interrogative
Just completed the course and one thing I must say that..His teaching skills are surprisingly amazing..Thanks Nishant for your efforts!,Positive
"man I hate doing css, maybe just use bootstrap or any other for basic design so the focus is more on the actual build.",Negative
It was really nice tutorial. Learned many things in 11 hours,Positive
We need nodejs + express + typescript + mongodb,Neutral
Lets do it,Positive
oh snap this is going to fun!!!,Positive
"Hi! How would we deploy this app? Can we just upload it to netlify and it will work?? Please, let me know, thanks!",Interrogative
There is no chat functionality?,Interrogative
Are you going to teach us shady business practices as well,Interrogative
I just literally got a an email from a recruiter named Nishant Kumar as I started playing this video.,Neutral
nice clone,Positive
Did anyone finish this?,Interrogative
CSS's struggle,Negative
Hi brother,Neutral
I love freecodecamp but lately the quality of tutorials has gone down significantly. I hate to critique but this tutorial is just dumb and very hard to follow.The guy has clearly not planned the project at all. It would be helpful if the content was vetted more thoroughly.,Negative
3hr 33 min the video is not explaining how setup profilePopup just skipped.....,Negative
"at around 30min there was an error in app and you just skipped what I would guess 10-15min and jumped to where it is solved. This course is 11h already,  do no skip parts where you solving issues.",Corrective
Knowledge of backend is compulsory for this project or not? I need a response plz.,Interrogative
I'd rather listen to an automated voice than this.,Negative
Omg! The accent,Positive
sir plz upload at least one fully functional Project in React Native with firebase or strapi backend plz sir,Neutral
"yeahhh... had to quit after 1 hour, a lot of things were just popping up out of the blue without explanation, and the guy seemed sometimes more lost than me.",Negative
please stop throwing unlimited add.. Just in 15mis of i saw 6+ adds,Negative
Why would anyone ever use Firebase for something like this?,Interrogative
It's worth a half of million dollars,Positive
good functionality but very poor design - it does not look like linkedin.,Negative
1st one plzz like,Neutral
Could chatgpt have made it,Interrogative
Why front-end devs have become slaves to tyra n .t react js ? Web development is haunted by this unwanted library.,Interrogative
"nice job, but try to improve your accent, it's always the same problem with indian people, the bad accent",Corrective
"i wish if the english prononciation was better and if the project was uploaded on github, or at least the css, so we dont bother to write it manually",Corrective
How to contact u if i have any doubt can i get any mediasss,Interrogative
or get gpt4,Neutral
Ehpiyaaiiiiii,Neutral
Hey broken ;-),Neutral
"No offense, Julio Casal's videos are way easier to understand than his IMO",Negative
Who is a teen programmer like,Neutral
1st comment like,Neutral
Minimal EpiYaeeeiii !,Neutral
Requesting for Java spring boot course,Neutral
"I'm gonna hear ""in the next video"" in my nightmares",Negative
1),Neutral
My name is Broken! :D :D Good one! :) Titles!,Neutral
What about security in minimal api,Interrogative
Plz anyone tell me minimal means???,Interrogative
Can you guys do a tutorial on R.P.A Development?,Interrogative
"Should have put ""REST"" and/or ""Swagger"" or something similar in the title so it's clear this isn't about APIs in general, but specifically about REST APIs using Swagger.",Corrective
"amazing video, place the same project to create regular web API project.",Positive
Architecture pattern used in minimal api?,Interrogative
Amazing course. I love it,Positive
Also please explain about deployment of minimal api in IIS,Neutral
"""All progress takes place outside the comfort zone."" _Michael John Bobak",Neutral
"For really simple tiny Web API's, this might make sense especially if you're in a big hurry! But personally, I'll stick with using Controllers for majority of my projects!",Positive
Thank you so much for awesome and valuable content,Positive
The code just looks super ugly lol,Negative
i dont like indian accent,Negative
Like,Positive
the people who are such a great and honest with,Positive
It's a humble request,Neutral
prerequisites?,Interrogative
Elon Musk wants your location dude,Neutral
twitter logo is not showing up when running the program need help in android,Negative
is the app built from scratch and is it beginner friendly,Interrogative
How to build YouTube clone?,Interrogative
All I have to say is nice...,Positive
Is this from basics?,Interrogative
"I am very new to flutter, can anyone suggest best video on YouTube to get started for beginners like me...",Interrogative
"ok...wow, what a timing :)",Positive
I'm searching a flutter course in my mind. After few second the notification come on to my phone,Positive
Unable to find the installation section in the docs of appwrite,Negative
can you do complete course react native,Interrogative
Keep Going Guyz!!!!,Positive
in which patton this code is write?,Interrogative
Is this tutorial good for beginners who have no idea about flutter?,Interrogative
"Hey man, for Either type have you looked at using Dartz?",Interrogative
I want to know that if Dart is prerequisite for this tutorial or does he explain dart too ??? (haven't watched video yet),Interrogative
Been waiting on this for a while! - Thank you!!,Positive
"If you like my perfect indian accent, smash the Like Button even harder!  Great Course, @Rivaan !",Positive
You guys should make more flutter videos,Positive
Why can't I get the realtime update on my profile editing and following even if I have the same exact code and configuration in my Appwrite console?,Interrogative
What about sending a push notification to the device about all this in-app notifications?,Interrogative
Just amazing thinking about this!,Positive
First :P,Neutral
Why did the presenter change?,Interrogative
this video is only for india speaking people,Negative
This is new..,Neutral
This is something new.,Neutral
Thank you everyone for checking out my tutorial! It really means a lot to me. And I'm super excited to see all your personal websites!! Happy coding!,Positive
Amazing video! I am using Next and Sanity for years and this is a great recap of the new important stuff. Thanks!,Positive
Much needed course as new app directory is introduced,Positive
Thank you so much Kapehe and freecodecamp for this! Wonderful tutorial!,Positive
"If anyone is getting an unknown error around  1:40:00 after adding the '(site)' and '(studio)' folders and moving all the files around, try deleting your '.next' folder and running 'npm run dev' again.",Corrective
To anyone stuck on 30:00 just check the comments and you find out the solution which has to do with making StudioPage an arrow function. I almost gave up on sanity,Corrective
Is it possible to make the sanity pages static? Because I would like to use something like next-sitemap to create sitemaps for them.,Interrogative
You are a great Presenter Kapehe! Thank You!,Positive
Would this work for being my developer portfolio showcase? or for a small e commerce site?,Positive
Please tell me how to output this structure ? What should be specified in the types and on the page ?,Interrogative
"Please use the standard VS Code theme, it took me over an hour because of = (==) 43:25 and → (->) 44:23",Corrective
