Comment,Predicted Class,Label
be another way create react web ?,Interrogative,4
great sr,Positive,1
i 'm not native english speaker sem like great course but be hard understand whit rest video have no problem,Negative,2
why dont work datacolapsetogle react vite template reacts,Interrogative,4
wel great but why be new language make website be beginer have start vite ? ? have start html ? ?,Interrogative,4
be watch akhand hindu rashtra aka eurasia,Neutral,5
foreigner english second language understand anything what say acent please frecodecamp next time chose native speaker,Negative,2
take guy long enough lol,Negative,2
thank share valuable content ca n't stand pronunciation though,Negative,2
be khataks india ? name khatak but acent be like indian,Interrogative,4
be afraid dont understand anything he say c rescue,Negative,2
wil chatgpt remove programer ? il chatgpt remove programer ?,Interrogative,4
i 'm new new new program do start guy ?,Interrogative,4
be rought understand non native english speaker,Negative,2
learn chadgpt,Neutral,5
have pronunciation problem english dificult understand word,Negative,2
ca n't understand anything always slurps,Negative,2
get triger not vet,Negative,2
dificult understand mumble word constantly,Negative,2
even watch yet but thank brad owe great deal gratitude be developer journey,Positive,1
how do get level develop anything scratch language framework like do video,Interrogative,4
be confuse what exactly be purpose building separate keyword extractor openai api prompt chatgpt do exactly thing ?,Interrogative,4
stuck syntaxeror unexpected end json input extractkeywords,Negative,2
whop whop,Neutral,5
i 'm not sure why but kep get eror every fetch request god hate fetch,Negative,2
fantastic tutorial always enjoy content ai service be prety impresive stuf cher,Positive,1
be wonder what make midjourney image diferent term quality ? find resource understand,Interrogative,4
congratulation would nice recomend alternative besides openai since not available worldwide,Positive,1
hi brad quick one be planing update course udemy modern javascript begin ?,Interrogative,4
i 'm try build deploy but i 'm problem can help please,Interrogative,4
i 've heard new ai image generator bluewilow what do think they 're use ai platform what be thought that ?,Interrogative,4
brad be one best teacher whole world,Positive,1
come j get what want thankyou paste html cs,Positive,1
what be average cost create image ?,Interrogative,4
one problem face building ap use openai 's api be ca n't find way download image use give response link,Negative,2
pure life saver modern techie thanks brad,Positive,1
be one show how ad local workspace developer tol change make actualy wil save computer ?,Interrogative,4
sir amaze u every time,Positive,1
another great one brad thanks mery christmas,Positive,1
would deploy this ? have try render vercel but image wont show,Interrogative,4
can include number image ai can generate time ?,Interrogative,4
amaze project,Positive,1
tel which theme use vscode editor ?,Interrogative,4
wait roadmap usual,Neutral,5
hey bos saw ig be wait patiently thank,Positive,1
love ap i 'm go atempt do django version,Positive,1
ai be new gold rush,Neutral,5
since should remove spiner whether be eror not can do check response,Positive,1
super lok forward new j course,Positive,1
great coverage,Positive,1
run macos monterey run server port wil not work airplay receiver run port,Neutral,5
brad be king give excelent example hotest buz indestry amaze make wekend,Positive,1
it ’ s important realise be simple web page us library cal open ai server remotely it ’ s not localy generate anything,Neutral,5
ca n't use live server nodemon which be run port time ?,Interrogative,4
git bitbucket tutorial please,Neutral,5
make complex desktop ui data fetch use electron j nodejs mongodbi find god video youtube,Neutral,5
cod work perfectly but publish github site not work,Negative,2
hi brad abhishek india be one soughtafter mentor want say thanks,Positive,1
be wel do easy understand thank much share knowledge,Positive,1
head tail actualy ned parameter least ubuntu lts type head tail topbotom line acordingly,Neutral,5
cli tol be powerful always kep fresh backup restore stable stage eventualy wil mes something tinker use terminal,Neutral,5
thanks brad be excelent be useful,Positive,1
great stuf sirlike videosvery impresive,Positive,1
thank much content could kindly make crash course dotfiles linux beginer ?,Interrogative,4
be think ned course like come along,Positive,1
wow be pul hair terminal comand come handy thanks brad,Positive,1
